timestamp,ac_kwh,fan_1_kwh,fan_2_kwh,fan_3_kwh,fan_4_kwh,fridge_kwh,hrs_kwh,induction-stove_kwh,iron-box_kwh,light_1_kwh,light_2_kwh,light_3_kwh,light_4_kwh,light_5_kwh,mixi_kwh,tv_kwh,unit_kwh_kwh,washing-machine_kwh,water-pump_kwh,total_kwh
1704056400,0.0,0.0012,0.0013,0.0058,0.0,0.0324,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0144,0.0001,0.0001,0.0001,0.0003,0.0002,0.0574
1704057300,0.0003,0.0013,0.0013,0.0058,0.0001,0.0324,0.0002,0.0002,0.0003,0.0002,0.0001,0.0001,0.0002,0.0142,0.0003,0.0001,0.0001,0.0002,0.0003,0.0577
1704058200,0.0003,0.0012,0.0012,0.0058,0.0001,0.0324,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0144,0.0001,0.0002,0.0002,0.0001,0.0002,0.0571
1704059100,0.0001,0.0012,0.0011,0.0058,0.0002,0.0322,0.0002,0.0002,0.0001,0.0002,0.0,0.0,0.0001,0.0143,0.0002,0.0001,0.0002,0.0001,0.0001,0.0564
1704060000,0.0001,0.0013,0.0013,0.0058,0.0001,0.0323,0.0001,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0142,0.0002,0.0001,0.0002,0.0001,0.0002,0.0573
1704060900,0.0001,0.0012,0.0012,0.006,0.0001,0.0324,0.0003,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002,0.0143,0.0002,0.0001,0.0003,0.0001,0.0001,0.0575
1704061800,0.0001,0.0014,0.0012,0.0058,0.0002,0.0323,0.0003,0.0002,0.0001,0.0002,0.0001,0.0001,0.0,0.0143,0.0001,0.0,0.0003,0.0002,0.0002,0.0571
1704062700,0.0002,0.0014,0.0013,0.0059,0.0001,0.0322,0.0002,0.0003,0.0002,0.0001,0.0002,0.0,0.0001,0.0143,0.0001,0.0002,0.0001,0.0001,0.0002,0.0572
1704063600,0.0001,0.0014,0.0011,0.0059,0.0002,0.0324,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0142,0.0002,0.0001,0.0001,0.0001,0.0002,0.0569
1704064500,0.0001,0.0012,0.0012,0.006,0.0001,0.0322,0.0002,0.0001,0.0003,0.0002,0.0002,0.0001,0.0002,0.0142,0.0003,0.0002,0.0002,0.0001,0.0001,0.0572
1704065400,0.0002,0.0012,0.0011,0.0058,0.0001,0.0322,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003,0.0144,0.0003,0.0003,0.0002,0.0002,0.0003,0.0576
1704066300,0.0001,0.0014,0.0012,0.0059,0.0001,0.0323,0.0001,0.0002,0.0002,0.0001,0.0002,0.0,0.0002,0.0144,0.0001,0.0002,0.0002,0.0001,0.0001,0.0571
1704067200,0.0001,0.0013,0.0011,0.006,0.0002,0.0323,0.0001,0.0003,0.0002,0.0001,0.0,0.0002,0.0002,0.0144,0.0001,0.0003,0.0003,0.0,0.0001,0.0573
1704068100,0.0001,0.0014,0.0011,0.006,0.0003,0.0323,0.0002,0.0003,0.0003,0.0001,0.0002,0.0001,0.0002,0.0142,0.0003,0.0002,0.0001,0.0001,0.0002,0.0577
1704069000,0.0002,0.0005,0.0016,0.0003,0.0054,0.0211,0.0003,0.0324,0.004,0.0015,0.0005,0.0005,0.0018,0.0002,0.0102,0.0002,0.0002,0.0018,0.0099,0.0926
1704069900,0.0002,0.0005,0.0018,0.0002,0.0053,0.0212,0.0002,0.0324,0.004,0.0015,0.0005,0.0007,0.0018,0.0002,0.0103,0.0003,0.0003,0.0017,0.0099,0.093
1704070800,0.0001,0.0003,0.0018,0.0002,0.0054,0.0211,0.0002,0.0325,0.0039,0.0016,0.0006,0.0005,0.0019,0.0002,0.0102,0.0001,0.0002,0.0016,0.0101,0.0925
1704071700,0.0002,0.0004,0.0017,0.0003,0.0053,0.0211,0.0002,0.0324,0.004,0.0015,0.0005,0.0007,0.0019,0.0001,0.0102,0.0003,0.0001,0.0016,0.0101,0.0926
1704072600,0.0002,0.0005,0.0018,0.0003,0.0053,0.0213,0.0001,0.0325,0.0039,0.0015,0.0006,0.0006,0.0017,0.0002,0.0102,0.0001,0.0002,0.0016,0.01,0.0926
1704073500,0.0001,0.0004,0.0017,0.0002,0.0054,0.0213,0.0002,0.0324,0.004,0.0016,0.0004,0.0007,0.0018,0.0001,0.0102,0.0002,0.0001,0.0016,0.01,0.0924
1704074400,0.0002,0.0003,0.0017,0.0002,0.0052,0.0213,0.0003,0.0325,0.004,0.0016,0.0005,0.0006,0.0019,0.0001,0.0102,0.0,0.0003,0.0018,0.0099,0.0926
1704075300,0.0001,0.0004,0.0018,0.0002,0.0052,0.0212,0.0,0.0324,0.004,0.0016,0.0005,0.0007,0.0018,0.0003,0.0101,0.0002,0.0001,0.0017,0.0099,0.0922
1704076200,0.0001,0.0005,0.0017,0.0003,0.0053,0.0212,0.0003,0.0325,0.0039,0.0015,0.0004,0.0007,0.0018,0.0001,0.0102,0.0002,0.0001,0.0017,0.0099,0.0924
1704077100,0.0003,0.0005,0.0018,0.0002,0.0052,0.0212,0.0002,0.0324,0.0039,0.0016,0.0005,0.0006,0.0018,0.0001,0.0101,0.0002,0.0002,0.0017,0.0101,0.0926
1704078000,0.0003,0.0004,0.0016,0.0002,0.0053,0.0211,0.0002,0.0325,0.004,0.0015,0.0004,0.0007,0.0018,0.0001,0.0102,0.0001,0.0003,0.0016,0.0099,0.0922
1704078900,0.0002,0.0003,0.0018,0.0002,0.0054,0.0212,0.0002,0.0324,0.0039,0.0015,0.0005,0.0006,0.0018,0.0003,0.0103,0.0001,0.0001,0.0017,0.01,0.0925
1704079800,0.0001,0.0004,0.0016,0.0003,0.0053,0.0211,0.0002,0.0325,0.0039,0.0016,0.0005,0.0006,0.0018,0.0002,0.0102,0.0001,0.0001,0.0017,0.0099,0.0921
1704080700,0.0001,0.0005,0.0018,0.0002,0.0054,0.0211,0.0003,0.0325,0.0039,0.0015,0.0005,0.0006,0.0018,0.0002,0.0103,0.0001,0.0001,0.0016,0.0101,0.0926
1704081600,0.0002,0.0003,0.0017,0.0001,0.0054,0.0212,0.0003,0.0324,0.0041,0.0016,0.0005,0.0006,0.0019,0.0003,0.0101,0.0003,0.0001,0.0017,0.01,0.0928
1704082500,0.0002,0.0004,0.0018,0.0003,0.0053,0.0212,0.0002,0.0324,0.004,0.0016,0.0005,0.0005,0.0018,0.0002,0.0102,0.0001,0.0001,0.0016,0.0101,0.0925
1704083400,0.0001,0.0005,0.0016,0.0002,0.0053,0.0211,0.0001,0.0323,0.0039,0.0015,0.0005,0.0006,0.0019,0.0001,0.0103,0.0002,0.0002,0.0016,0.0101,0.0921
1704084300,0.0002,0.0004,0.0017,0.0003,0.0053,0.0211,0.0002,0.0325,0.0039,0.0017,0.0004,0.0006,0.0019,0.0002,0.0101,0.0002,0.0001,0.0016,0.0099,0.0923
1704085200,0.0001,0.0004,0.0018,0.0001,0.0053,0.0212,0.0003,0.0325,0.004,0.0015,0.0006,0.0006,0.0018,0.0002,0.0101,0.0001,0.0001,0.0016,0.0099,0.0922
1704086100,0.0003,0.0004,0.0017,0.0002,0.0053,0.0211,0.0001,0.0325,0.0041,0.0016,0.0006,0.0007,0.0019,0.0002,0.0102,0.0002,0.0003,0.0017,0.01,0.0931
1704087000,0.0001,0.0004,0.0018,0.0003,0.0053,0.0213,0.0002,0.0324,0.004,0.0017,0.0005,0.0006,0.0018,0.0001,0.0101,0.0001,0.0001,0.0018,0.01,0.0926
1704087900,0.0002,0.0004,0.0018,0.0001,0.0053,0.0212,0.0002,0.0324,0.0039,0.0016,0.0005,0.0006,0.0019,0.0003,0.0103,0.0001,0.0001,0.0017,0.01,0.0926
1704088800,0.0001,0.0005,0.0017,0.0002,0.0053,0.0212,0.0002,0.0325,0.0039,0.0017,0.0006,0.0005,0.0018,0.0002,0.0103,0.0,0.0001,0.0018,0.0099,0.0925
1704089700,0.0002,0.0005,0.0017,0.0001,0.0053,0.0212,0.0001,0.0325,0.0039,0.0015,0.0005,0.0005,0.0019,0.0001,0.0102,0.0002,0.0003,0.0018,0.0099,0.0924
1704090600,0.0002,0.0005,0.0017,0.0001,0.0053,0.0212,0.0002,0.0326,0.004,0.0016,0.0004,0.0005,0.0019,0.0002,0.0102,0.0002,0.0001,0.0016,0.01,0.0925
1704091500,0.0001,0.0005,0.0018,0.0004,0.0054,0.0211,0.0003,0.0324,0.004,0.0015,0.0005,0.0006,0.0018,0.0,0.0102,0.0002,0.0003,0.0017,0.01,0.0928
1704092400,0.0003,0.0004,0.0016,0.0002,0.0054,0.0212,0.0001,0.0325,0.0039,0.0016,0.0006,0.0006,0.0018,0.0001,0.0103,0.0002,0.0002,0.0016,0.0101,0.0927
1704093300,0.0003,0.0004,0.0017,0.0003,0.0052,0.0212,0.0001,0.0324,0.0039,0.0017,0.0004,0.0007,0.0019,0.0002,0.0101,0.0001,0.0001,0.0017,0.0099,0.0923
1704094200,0.0003,0.0005,0.0018,0.0002,0.0054,0.0211,0.0003,0.0324,0.0039,0.0015,0.0005,0.0006,0.0019,0.0,0.0102,0.0002,0.0003,0.0018,0.01,0.0929
1704095100,0.0003,0.0004,0.0018,0.0003,0.0053,0.0213,0.0001,0.0325,0.0041,0.0016,0.0006,0.0006,0.0018,0.0002,0.0102,0.0002,0.0001,0.0016,0.0099,0.0929
1704096000,0.0002,0.0005,0.0017,0.0003,0.0054,0.0212,0.0003,0.0325,0.0039,0.0015,0.0006,0.0006,0.0019,0.0002,0.0102,0.0001,0.0001,0.0017,0.0099,0.0928
1704096900,0.0003,0.0005,0.0017,0.0003,0.0054,0.0212,0.0002,0.0326,0.0041,0.0016,0.0005,0.0005,0.0018,0.0001,0.0101,0.0097,0.0003,0.0017,0.01,0.1026
1704097800,0.0001,0.0005,0.0017,0.0002,0.0053,0.0212,0.0001,0.0324,0.004,0.0016,0.0004,0.0006,0.0019,0.0003,0.0103,0.0243,0.0002,0.0017,0.0099,0.1167
1704098700,0.0001,0.0004,0.0016,0.0002,0.0052,0.0212,0.0003,0.0324,0.004,0.0017,0.0006,0.0006,0.0018,0.0001,0.0101,0.0242,0.0002,0.0016,0.0099,0.1162
1704099600,0.0,0.0004,0.0017,0.0002,0.0053,0.0212,0.0002,0.0325,0.0039,0.0016,0.0005,0.0006,0.0019,0.0001,0.0101,0.0243,0.0001,0.0016,0.01,0.1162
1704100500,0.0001,0.0003,0.0017,0.0003,0.0053,0.0213,0.0002,0.0325,0.0039,0.0015,0.0004,0.0006,0.0018,0.0001,0.0103,0.0243,0.0002,0.0016,0.0099,0.1163
1704101400,0.0001,0.0004,0.0017,0.0003,0.0054,0.0212,0.0001,0.0324,0.004,0.0015,0.0004,0.0007,0.0018,0.0001,0.0103,0.0242,0.0002,0.0016,0.0099,0.1163
1704102300,0.0001,0.0003,0.0016,0.0003,0.0053,0.0212,0.0002,0.0324,0.0041,0.0015,0.0006,0.0007,0.0017,0.0001,0.0101,0.0001,0.0001,0.0016,0.0099,0.0919
1704103200,0.0002,0.0004,0.0018,0.0001,0.0053,0.0212,0.0001,0.0324,0.004,0.0015,0.0005,0.0006,0.0018,0.0002,0.0101,0.0001,0.0001,0.0017,0.0099,0.092
1704104100,0.0001,0.0004,0.0018,0.0003,0.0054,0.0212,0.0002,0.0326,0.004,0.0015,0.0006,0.0006,0.0018,0.0003,0.0101,0.0002,0.0001,0.0016,0.0099,0.0927
1704105000,0.0001,0.0004,0.0018,0.0003,0.0054,0.0211,0.0003,0.0324,0.0039,0.0016,0.0006,0.0006,0.0018,0.0001,0.0102,0.0002,0.0001,0.0017,0.01,0.0926
1704105900,0.0002,0.0004,0.0017,0.0001,0.0053,0.0212,0.0001,0.0324,0.0041,0.0016,0.0005,0.0005,0.0019,0.0002,0.0101,0.0002,0.0003,0.0017,0.01,0.0925
1704106800,0.0001,0.0003,0.0017,0.0001,0.0052,0.0213,0.0002,0.0324,0.0041,0.0016,0.0005,0.0006,0.0017,0.0002,0.0101,0.022,0.0002,0.0017,0.01,0.114
1704107700,0.0003,0.0003,0.0018,0.0003,0.0053,0.0211,0.0001,0.0324,0.0039,0.0015,0.0005,0.0005,0.0018,0.0002,0.0102,0.0544,0.0003,0.0016,0.01,0.1465
1704108600,0.0001,0.0005,0.0018,0.0002,0.0052,0.0212,0.0002,0.0323,0.0041,0.0017,0.0005,0.0006,0.0018,0.0002,0.0103,0.0545,0.0002,0.0017,0.01,0.1471
1704109500,0.0003,0.0004,0.0016,0.0003,0.0054,0.0211,0.0001,0.0325,0.004,0.0016,0.0005,0.0006,0.0017,0.0001,0.0102,0.0001,0.0002,0.0018,0.0101,0.0926
1704110400,0.0002,0.0003,0.0018,0.0001,0.0052,0.0211,0.0003,0.0324,0.004,0.0015,0.0005,0.0005,0.0018,0.0001,0.0102,0.0002,0.0001,0.0016,0.01,0.0919
1704111300,0.0001,0.0004,0.0018,0.0003,0.0054,0.0212,0.0001,0.0325,0.0041,0.0016,0.0005,0.0007,0.0018,0.0002,0.0101,0.0002,0.0001,0.0016,0.0101,0.0928
1704112200,0.0328,0.0132,0.0131,0.0059,0.0046,0.0381,0.0001,0.0572,0.0171,0.0007,0.0003,0.0031,0.001,0.008,0.0286,0.0001,0.0001,0.0019,0.0235,0.2494
1704113100,0.033,0.013,0.013,0.0058,0.0046,0.0382,0.0001,0.0573,0.0171,0.0006,0.0003,0.003,0.001,0.0078,0.0285,0.0002,0.0001,0.0017,0.0235,0.2488
1704114000,0.033,0.0131,0.013,0.0058,0.0046,0.0382,0.0001,0.0574,0.017,0.0006,0.0003,0.003,0.001,0.0079,0.0285,0.0001,0.0002,0.0017,0.0235,0.249
1704114900,0.033,0.013,0.0129,0.006,0.0047,0.0382,0.0002,0.0573,0.017,0.0006,0.0003,0.0031,0.001,0.008,0.0285,0.0002,0.0003,0.0018,0.0234,0.2495
1704115800,0.033,0.013,0.0131,0.006,0.0046,0.0381,0.0001,0.0573,0.0172,0.0006,0.0003,0.0029,0.0009,0.008,0.0285,0.0003,0.0002,0.0017,0.0234,0.2492
1704116700,0.0328,0.0131,0.013,0.0059,0.0045,0.0381,0.0003,0.0573,0.017,0.0007,0.0003,0.0031,0.001,0.008,0.0284,0.0003,0.0001,0.0018,0.0234,0.2491
1704117600,0.0329,0.0131,0.0128,0.0059,0.0045,0.0382,0.0002,0.0572,0.017,0.0007,0.0002,0.0029,0.0011,0.008,0.0284,0.0002,0.0001,0.0018,0.0236,0.2488
1704118500,0.0328,0.0131,0.0128,0.006,0.0047,0.0383,0.0001,0.0573,0.017,0.0007,0.0003,0.0031,0.001,0.0079,0.0285,0.0003,0.0001,0.0019,0.0235,0.2494
1704119400,0.033,0.0131,0.0129,0.0059,0.0047,0.0382,0.0002,0.0574,0.017,0.0006,0.0002,0.003,0.001,0.0079,0.0285,0.0204,0.0002,0.0019,0.0236,0.2697
1704120300,0.033,0.0132,0.013,0.006,0.0046,0.0381,0.0002,0.0573,0.0171,0.0006,0.0003,0.0031,0.0009,0.0079,0.0285,0.0507,0.0002,0.0019,0.0235,0.3001
1704121200,0.0329,0.0131,0.013,0.0059,0.0046,0.0382,0.0001,0.0573,0.0172,0.0007,0.0003,0.0031,0.001,0.0078,0.0284,0.0506,0.0003,0.0018,0.0235,0.2998
1704122100,0.0328,0.013,0.0128,0.0059,0.0046,0.0382,0.0001,0.0574,0.017,0.0007,0.0003,0.0029,0.001,0.0079,0.0283,0.0507,0.0001,0.0019,0.0234,0.299
1704123000,0.0329,0.0132,0.0129,0.0059,0.0045,0.0382,0.0,0.0573,0.017,0.0006,0.0004,0.003,0.001,0.008,0.0284,0.0507,0.0002,0.0018,0.0234,0.2994
1704123900,0.0329,0.013,0.0129,0.0059,0.0047,0.0381,0.0002,0.0572,0.017,0.0006,0.0003,0.0031,0.0011,0.0078,0.0285,0.0508,0.0002,0.0019,0.0236,0.2998
1704124800,0.033,0.0131,0.0131,0.006,0.0046,0.0382,0.0002,0.0573,0.0171,0.0007,0.0003,0.003,0.0009,0.008,0.0284,0.0507,0.0002,0.0019,0.0235,0.3002
1704125700,0.033,0.013,0.013,0.0059,0.0046,0.0382,0.0002,0.0574,0.0171,0.0007,0.0003,0.0031,0.0009,0.0079,0.0284,0.0002,0.0002,0.0019,0.0235,0.2495
1704126600,0.0003,0.0012,0.0013,0.0058,0.0002,0.0324,0.0003,0.0001,0.0001,0.0,0.0001,0.0002,0.0002,0.0144,0.0001,0.0002,0.0002,0.0002,0.0002,0.0575
1704127500,0.0002,0.0014,0.0012,0.006,0.0001,0.0323,0.0003,0.0002,0.0003,0.0002,0.0,0.0001,0.0002,0.0142,0.0001,0.0002,0.0002,0.0001,0.0001,0.0574
1704128400,0.0001,0.0014,0.0012,0.0058,0.0001,0.0323,0.0002,0.0001,0.0003,0.0001,0.0001,0.0001,0.0001,0.0142,0.0003,0.0002,0.0001,0.0001,0.0003,0.0571
1704129300,0.0002,0.0013,0.0012,0.0059,0.0002,0.0324,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0143,0.0002,0.0001,0.0002,0.0002,0.0001,0.0574
1704130200,0.0002,0.0012,0.0011,0.006,0.0001,0.0322,0.0001,0.0001,0.0003,0.0001,0.0001,0.0002,0.0,0.0142,0.0002,0.0002,0.0001,0.0,0.0001,0.0565
1704131100,0.0002,0.0012,0.0013,0.0059,0.0002,0.0324,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0001,0.0143,0.0002,0.0003,0.0002,0.0002,0.0001,0.0572
1704132000,0.0002,0.0012,0.0013,0.0058,0.0001,0.0324,0.0001,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,0.0143,0.0002,0.0002,0.0002,0.0001,0.0001,0.0572
1704132900,0.0002,0.0012,0.0013,0.006,0.0001,0.0322,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0002,0.0142,0.0001,0.0001,0.0002,0.0001,0.0001,0.0568
1704133800,0.0002,0.009,0.0057,0.0114,0.0002,0.0339,0.0001,0.0003,0.0002,0.0,0.0002,0.0003,0.0001,0.0142,0.0002,0.0002,0.0002,0.0001,0.0001,0.0766
1704134700,0.0001,0.0089,0.0055,0.0114,0.0001,0.0338,0.0002,0.0003,0.0001,0.0001,0.0001,0.0002,0.0002,0.0143,0.0002,0.0001,0.0001,0.0001,0.0002,0.076
1704135600,0.0003,0.009,0.0055,0.0114,0.0001,0.0338,0.0,0.0001,0.0003,0.0002,0.0001,0.0002,0.0002,0.0143,0.0001,0.0003,0.0003,0.0001,0.0002,0.0765
1704136500,0.0002,0.0088,0.0056,0.0113,0.0002,0.0338,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0143,0.0001,0.0002,0.0002,0.0001,0.0001,0.0759
1704137400,0.0001,0.0088,0.0055,0.0115,0.0001,0.0339,0.0001,0.0002,0.0001,0.0,0.0001,0.0002,0.0001,0.0142,0.0001,0.0002,0.0001,0.0001,0.0002,0.0756
1704138300,0.0001,0.009,0.0055,0.0114,0.0001,0.0338,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0143,0.0003,0.0001,0.0001,0.0,0.0001,0.0756
1704139200,0.0003,0.0089,0.0057,0.0113,0.0002,0.0339,0.0002,0.0003,0.0001,0.0002,0.0001,0.0003,0.0002,0.0143,0.0001,0.0001,0.0002,0.0002,0.0001,0.0767
1704140100,0.0001,0.009,0.0056,0.0115,0.0002,0.0338,0.0003,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.0143,0.0002,0.0001,0.0001,0.0001,0.0001,0.0764
1704141000,0.0001,0.0089,0.0056,0.0116,0.0001,0.0338,0.0003,0.0001,0.0003,0.0001,0.0002,0.0001,0.0002,0.0142,0.0002,0.0002,0.0001,0.0003,0.0001,0.0765
1704141900,0.0002,0.009,0.0057,0.0115,0.0002,0.0339,0.0001,0.0003,0.0003,0.0001,0.0002,0.0001,0.0001,0.0141,0.0002,0.0001,0.0002,0.0001,0.0002,0.0766
1704142800,0.0001,0.0091,0.0056,0.0114,0.0002,0.0339,0.0001,0.0002,0.0003,0.0002,0.0001,0.0003,0.0001,0.0141,0.0003,0.0002,0.0001,0.0001,0.0002,0.0766
1704143700,0.0001,0.009,0.0055,0.0115,0.0001,0.0339,0.0003,0.0003,0.0001,0.0001,0.0002,0.0002,0.0002,0.0143,0.0001,0.0001,0.0002,0.0001,0.0003,0.0766
1704144600,0.0002,0.0089,0.0055,0.0116,0.0001,0.0339,0.0002,0.0003,0.0001,0.0001,0.0002,0.0002,0.0001,0.0143,0.0001,0.0001,0.0001,0.0,0.0002,0.0762
1704145500,0.0003,0.0089,0.0056,0.0115,0.0001,0.0338,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0143,0.0002,0.0002,0.0001,0.0002,0.0001,0.076
1704146400,0.0003,0.0089,0.0056,0.0114,0.0002,0.0337,0.0003,0.0,0.0003,0.0001,0.0002,0.0002,0.0001,0.0142,0.0001,0.0002,0.0002,0.0001,0.0003,0.0764
1704147300,0.0003,0.0088,0.0056,0.0115,0.0002,0.0337,0.0002,0.0003,0.0001,0.0002,0.0002,0.0002,0.0002,0.0141,0.0002,0.0001,0.0002,0.0003,0.0002,0.0766
1704148200,0.0002,0.0088,0.0055,0.0115,0.0003,0.0339,0.0003,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0142,0.0002,0.0001,0.0001,0.0002,0.0002,0.0765
1704149100,0.0003,0.009,0.0056,0.0113,0.0002,0.0339,0.0003,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0142,0.0003,0.0002,0.0001,0.0002,0.0002,0.0768
1704150000,0.0001,0.0089,0.0057,0.0114,0.0001,0.0337,0.0003,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0141,0.0001,0.0002,0.0002,0.0002,0.0003,0.0763
1704150900,0.0002,0.0091,0.0057,0.0115,0.0001,0.0337,0.0001,0.0002,0.0001,0.0001,0.0003,0.0001,0.0002,0.0143,0.0003,0.0001,0.0001,0.0002,0.0002,0.0766
1704151800,0.0003,0.0089,0.0057,0.0115,0.0002,0.0337,0.0001,0.0001,0.0003,0.0001,0.0001,0.0,0.0001,0.0142,0.0001,0.0002,0.0001,0.0001,0.0003,0.0761
1704152700,0.0001,0.0089,0.0057,0.0114,0.0001,0.0339,0.0002,0.0003,0.0003,0.0002,0.0,0.0001,0.0001,0.0143,0.0002,0.0001,0.0001,0.0002,0.0001,0.0763
1704153600,0.0001,0.0088,0.0056,0.0115,0.0001,0.0338,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0142,0.0001,0.0001,0.0002,0.0001,0.0001,0.0756
1704154500,0.0002,0.009,0.0057,0.0114,0.0002,0.0338,0.0002,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.0142,0.0002,0.0001,0.0002,0.0001,0.0001,0.0765
1704155400,0.0001,0.0056,0.0056,0.0051,0.0058,0.0198,0.0002,0.0298,0.0165,0.0002,0.0008,0.0018,0.0002,0.0002,0.0105,0.0003,0.0002,0.002,0.0078,0.1125
1704156300,0.0001,0.0056,0.0058,0.0052,0.0059,0.0199,0.0002,0.0299,0.0163,0.0002,0.0008,0.002,0.0002,0.0003,0.0107,0.0001,0.0002,0.002,0.0079,0.1133
1704157200,0.0002,0.0056,0.0058,0.0051,0.0059,0.0198,0.0002,0.0298,0.0164,0.0003,0.0009,0.0019,0.0001,0.0,0.0106,0.0001,0.0002,0.0021,0.0079,0.1129
1704158100,0.0003,0.0055,0.0056,0.0051,0.0059,0.0198,0.0001,0.0299,0.0163,0.0003,0.0009,0.0019,0.0002,0.0002,0.0106,0.0001,0.0002,0.0019,0.0078,0.1126
1704159000,0.0001,0.0055,0.0058,0.0052,0.0059,0.0197,0.0001,0.0299,0.0164,0.0003,0.0008,0.0019,0.0002,0.0001,0.0105,0.0001,0.0002,0.0021,0.0077,0.1125
1704159900,0.0001,0.0055,0.0058,0.0051,0.006,0.0198,0.0002,0.0298,0.0163,0.0002,0.0007,0.0019,0.0001,0.0003,0.0106,0.0002,0.0001,0.002,0.0079,0.1126
1704160800,0.0001,0.0055,0.0057,0.0051,0.006,0.0199,0.0002,0.0299,0.0164,0.0004,0.0009,0.0018,0.0001,0.0002,0.0106,0.0001,0.0002,0.002,0.0078,0.1129
1704161700,0.0003,0.0055,0.0058,0.0053,0.0059,0.0199,0.0001,0.0298,0.0163,0.0003,0.0009,0.0019,0.0001,0.0001,0.0104,0.0001,0.0003,0.002,0.0078,0.1128
1704162600,0.0002,0.0055,0.0056,0.0052,0.006,0.0197,0.0002,0.0297,0.0164,0.0003,0.0008,0.0018,0.0002,0.0002,0.0104,0.0002,0.0002,0.002,0.0079,0.1125
1704163500,0.0001,0.0056,0.0057,0.0052,0.0059,0.0197,0.0002,0.0299,0.0165,0.0004,0.0008,0.0019,0.0001,0.0001,0.0104,0.0001,0.0001,0.0019,0.0079,0.1125
1704164400,0.0002,0.0056,0.0057,0.0052,0.006,0.0197,0.0002,0.0298,0.0165,0.0003,0.0007,0.0018,0.0002,0.0003,0.0104,0.0002,0.0001,0.002,0.0079,0.1128
